sample_id,sample_name,formula::ABS,formula::PC,formula::增韧剂,process::加工温度,process::螺杆转速,condition_signature,target::冲击强度
T10-020,T10_sample_020,37.922428,51.257315,10.820258,258.843135,300.509158,ISO_179_23C_notched,45.159512
T10-021,T10_sample_021,18.22962,68.84244,12.92794,247.268415,255.175846,ISO_179_23C_notched,33.084557
T10-022,T10_sample_022,20.231043,69.986539,9.782418,238.148948,313.53423,ISO_179_23C_notched,35.622156
T10-023,T10_sample_023,35.517059,56.585662,7.89728,240.023445,205.011263,ISO_179_23C_notched,42.851562
T10-024,T10_sample_024,23.968896,64.00266,12.028444,244.358808,201.397498,ISO_179_23C_notched,33.414819
T10-025,T10_sample_025,33.250216,55.816615,10.933169,251.145059,254.249514,ISO_179_23C_notched,43.061187
T10-026,T10_sample_026,18.389535,66.39038,15.220085,255.148875,296.433174,ISO_179_23C_notched,36.389366
T10-027,T10_sample_027,24.150283,70.212541,5.637177,255.120384,312.572922,ISO_179_23C_notched,30.859995
T10-028,T10_sample_028,19.38425,67.249126,13.366624,250.633377,197.974805,ISO_179_23C_notched,34.947186
T10-029,T10_sample_029,27.505648,61.446513,11.04784,230.602265,302.140626,ISO_179_23C_notched,38.253426
T10-030,T10_sample_030,28.785922,58.184836,13.029242,228.046043,223.640281,ISO_179_23C_notched,42.70248
T10-031,T10_sample_031,37.902987,49.948354,12.148659,237.524003,252.460618,ISO_179_23C_notched,48.090275
T10-032,T10_sample_032,24.761711,63.766893,11.471396,229.204589,210.830434,ISO_179_23C_notched,38.03018
T10-033,T10_sample_033,19.419862,68.638006,11.942133,229.157671,306.758802,ISO_179_23C_notched,35.776484
T10-034,T10_sample_034,22.760093,64.881152,12.358756,228.569472,198.523659,ISO_179_23C_notched,35.871685
T10-035,T10_sample_035,36.710285,52.008241,11.281474,238.906841,289.846719,ISO_179_23C_notched,45.989612
T10-036,T10_sample_036,19.938616,70.319821,9.741563,236.943145,245.383454,ISO_179_23C_notched,29.971663
T10-037,T10_sample_037,32.581517,55.011473,12.40701,259.366608,193.778502,ISO_179_23C_notched,39.283551
T10-038,T10_sample_038,35.233451,57.03133,7.73522,227.608356,242.805897,ISO_179_23C_notched,41.36634
T10-039,T10_sample_039,26.437633,65.498371,8.063997,229.992258,309.257184,ISO_179_23C_notched,31.178749
T10-040,T10_sample_040,29.006506,65.437022,5.556472,259.971299,297.043862,ISO_179_23C_notched,32.887723
T10-041,T10_sample_041,37.379925,47.430038,15.190037,253.947829,203.283555,ISO_179_23C_notched,46.817407
T10-042,T10_sample_042,26.020806,68.334205,5.644989,235.158925,317.943238,ISO_179_23C_notched,31.814698
T10-043,T10_sample_043,23.304061,63.071162,13.624777,238.200335,239.221048,ISO_179_23C_notched,45.288975
T10-044,T10_sample_044,29.115366,57.982143,12.902491,226.191873,221.539096,ISO_179_23C_notched,40.273203
T10-045,T10_sample_045,37.374187,51.25483,11.370983,241.687808,284.716578,ISO_179_23C_notched,48.489874
T10-046,T10_sample_046,28.057008,57.563074,14.379919,226.297309,314.509046,ISO_179_23C_notched,45.703113
T10-047,T10_sample_047,19.602229,73.353696,7.044075,243.801404,274.529758,ISO_179_23C_notched,27.693703
T10-048,T10_sample_048,35.805746,56.485885,7.708369,243.780766,266.713411,ISO_179_23C_notched,40.754758
T10-049,T10_sample_049,26.384498,62.195107,11.420395,240.911309,310.858876,ISO_179_23C_notched,39.574354
T10-050,T10_sample_050,22.773719,67.872637,9.353644,246.867609,221.999591,ISO_179_23C_notched,35.012672
T10-051,T10_sample_051,24.323544,62.405947,13.270509,222.901725,244.159973,ISO_179_23C_notched,47.221471
T10-052,T10_sample_052,19.465214,73.190088,7.344697,230.608017,310.656313,ISO_179_23C_notched,29.396574
T10-053,T10_sample_053,35.617283,49.710744,14.671973,234.781084,202.084557,ISO_179_23C_notched,49.693849
T10-054,T10_sample_054,30.233555,53.906881,15.859564,246.159053,181.095235,ISO_179_23C_notched,41.495064
T10-055,T10_sample_055,34.342083,57.364751,8.293166,246.535549,311.450201,ISO_179_23C_notched,40.529037
T10-056,T10_sample_056,20.14072,68.77382,11.08546,230.893928,264.676176,ISO_179_23C_notched,34.718076
T10-057,T10_sample_057,32.352244,60.408186,7.23957,245.369518,216.957746,ISO_179_23C_notched,31.006218
T10-058,T10_sample_058,34.922074,59.062643,6.015283,236.943031,218.735231,ISO_179_23C_notched,37.084059
T10-059,T10_sample_059,18.070914,68.446775,13.482311,245.484535,216.673737,ISO_179_23C_notched,33.410408
T10-060,T10_sample_060,26.553738,68.339895,5.106367,223.009754,303.634895,ISO_179_23C_notched,29.351834
